id,name,scheme,type,duration,requires_skill,depends_on
PSLRAC_Specs,PSLRAC - Specs,PSLRAC,spec,5,senior_analyst,
PSLAvivaASPS_Specs,PSLAvivaASPS - Specs,PSLAvivaASPS,spec,5,senior_analyst,
PSLPrudential_Specs,PSLPrudential - Specs,PSLPrudential,spec,5,senior_analyst,
PSLPrudential_Specs,PSLPrudential - Specs,PSLPrudential,spec,5,senior_analyst,
BAA_Specs,BAA - Specs,BAA,spec,5,senior_analyst,
PSLLeonardoHelicopters_Specs,PSLLeonardoHelicopters - Specs,PSLLeonardoHelicopters,spec,5,senior_analyst,
PSLEcclesiasticals_Specs,PSLEcclesiasticals - Specs,PSLEcclesiasticals,spec,5,senior_analyst,
PSLAtkins_Specs,PSLAtkins - Specs,PSLAtkins,spec,5,senior_analyst,
PSLParkerHannifin_Specs,PSLParkerHannifin - Specs,PSLParkerHannifin,spec,5,senior_analyst,
PSLCompass_Specs,PSLCompass - Specs,PSLCompass,spec,5,senior_analyst,
PSLLeonardoElectronics_Specs,PSLLeonardoElectronics - Specs,PSLLeonardoElectronics,spec,5,senior_analyst,
Threei_Specs,Threei - Specs,Threei,spec,5,senior_analyst,
TimeWarner_Specs,TimeWarner - Specs,TimeWarner,spec,5,senior_analyst,
Comet_Specs,Comet - Specs,Comet,spec,5,senior_analyst,
XPSJPS2022_Specs,XPSJPS2022 - Specs,XPSJPS2022,spec,5,senior_analyst,
Aggregates_Specs,Aggregates - Specs,Aggregates,spec,5,senior_analyst,
PSLAfton_Specs,PSLAfton - Specs,PSLAfton,spec,5,senior_analyst,
PSLMandG_Specs,PSLMandG - Specs,PSLMandG,spec,5,senior_analyst,
PSLAvivaFPPS_Specs,PSLAvivaFPPS - Specs,PSLAvivaFPPS,spec,5,senior_analyst,
Vector AeroSpace_Specs,Vector AeroSpace - Specs,Vector AeroSpace,spec,5,senior_analyst,
PSLJPS2015_Specs,PSLJPS2015 - Specs,PSLJPS2015,spec,5,senior_analyst,
PSLJPS2015_Specs,PSLJPS2015 - Specs,PSLJPS2015,spec,5,senior_analyst,
Ronez_Specs,Ronez - Specs,Ronez,spec,5,senior_analyst,
CreditAgricole_Specs,CreditAgricole - Specs,CreditAgricole,spec,5,senior_analyst,
PSLJPS_Specs,PSLJPS - Specs,PSLJPS,spec,5,senior_analyst,
St Ives_Specs,St Ives - Specs,St Ives,spec,5,senior_analyst,
Headlam Group_Specs,Headlam Group - Specs,Headlam Group,spec,5,senior_analyst,
Ryder_Specs,Ryder - Specs,Ryder,spec,5,senior_analyst,
PSLAvivaLandE_Specs,PSLAvivaLandE - Specs,PSLAvivaLandE,spec,5,senior_analyst,
XPSITW_Specs,XPSITW - Specs,XPSITW,spec,5,senior_analyst,
Walker Greenbank_Specs,Walker Greenbank - Specs,Walker Greenbank,spec,5,senior_analyst,
MB_Specs,MB - Specs,MB,spec,5,senior_analyst,
VOCAUpgrade_Specs,VOCAUpgrade - Specs,VOCAUpgrade,spec,5,senior_analyst,
KierGroup_Specs,KierGroup - Specs,KierGroup,spec,5,senior_analyst,
XPSBramblesEnterprises_Specs,XPSBramblesEnterprises - Specs,XPSBramblesEnterprises,spec,5,senior_analyst,
Lonza_Specs,Lonza - Specs,Lonza,spec,5,senior_analyst,
Colas_Specs,Colas - Specs,Colas,spec,5,senior_analyst,
Vector_Specs,Vector - Specs,Vector,spec,5,senior_analyst,
VectorAeroNew_Specs,VectorAeroNew - Specs,VectorAeroNew,spec,5,senior_analyst,
PSLLloydsRegister_Specs,PSLLloydsRegister - Specs,PSLLloydsRegister,spec,5,senior_analyst,
AccoladeWines_Specs,AccoladeWines - Specs,AccoladeWines,spec,5,senior_analyst,
HBG_Specs,HBG - Specs,HBG,spec,5,senior_analyst,
CBRE_Specs,CBRE - Specs,CBRE,spec,5,senior_analyst,
XPSDelta_Specs,XPSDelta - Specs,XPSDelta,spec,5,senior_analyst,
XPSMouchelBusiness_Specs,XPSMouchelBusiness - Specs,XPSMouchelBusiness,spec,5,senior_analyst,
XPSPenguin_Specs,XPSPenguin - Specs,XPSPenguin,spec,5,senior_analyst,
XPSInterpublic_Specs,XPSInterpublic - Specs,XPSInterpublic,spec,5,senior_analyst,
MouchelSPS_Specs,MouchelSPS - Specs,MouchelSPS,spec,5,senior_analyst,
XPSPennon_Specs,XPSPennon - Specs,XPSPennon,spec,5,senior_analyst,
